p_recall,timestamp,delta,user_id,learning_language,ui_language,lexeme_id,lexeme_string,history_seen,history_correct,session_seen,session_correct
1.0,1362082828,447,u:h5or,it,en,9b2efa8d46360ae40a440843e0d8a08e,mangiano/mangiare<vblex><pri><p3><pl>,14,13,2,2
1.0,1362082826,621428,u:ifvw,de,en,76390c1350a8dac31186187e2fe1e178,lernt/lernen<vblex><pri><p3><sg>,8,8,1,1
1.0,1362082826,621428,u:ifvw,de,en,7dfd7086f3671685e2cf1c1da72796d7,die/die<det><def><f><sg><nom>,4,4,2,2
1.0,1362082826,621428,u:ifvw,de,en,35a54c25a2cda8127343f6a82e6f6b7d,mann/mann<n><m><sg><nom>,5,5,1,1
1.0,1362082826,619088,u:ifvw,de,en,cee314fa43551daf3690bb5cdda0bf23,lerne/lernen<vblex><pri><p1><sg>,4,4,1,1
1.0,1362082826,619508,u:ifvw,de,en,e83432c98b3619a933438e9300467491,wasser/wasser<n><nt><sg><acc>,7,6,2,2
1.0,1362082826,619088,u:ifvw,de,en,598a41cd84310715e45b6192564592a1,spiele/spielen<vblex><pri><p1><sg>,6,6,1,1
1.0,1362082826,619508,u:ifvw,de,en,306560d6f47275980bdfc69f8f338552,trinkt/trinken<vblex><pri><p3><sg>,9,8,1,1
1.0,1362082826,619088,u:ifvw,de,en,a43779cefc81fd8de149c0ff939b6012,trinkst/trinken<vblex><pri><p2><sg>,3,3,1,1
1.0,1362082826,619088,u:ifvw,de,en,d0e80d740c4f2d0653951e65952c19d1,isst/essen<vblex><pri><p2><sg>,1,1,1,1
1.0,1362082826,619825,u:ifvw,de,en,495f763ef6027e020c53431484aa5ede,isst/essen<vblex><pri><p3><sg>,10,7,1,1
1.0,1362082826,621428,u:ifvw,de,en,0cf63ffe3dda158bc3dbd55682b355ae,frau/frau<n><f><sg><nom>,5,5,2,2
1.0,1362082826,619088,u:ifvw,de,en,c76b4333fe84d57cce3a1e3c4101d21b,du/du<prn><p2><mf><sg><nom>,8,8,2,2
1.0,1362082826,619508,u:ifvw,de,en,5e5a51e875ae5efb092ae84d99babc56,ich/ich<prn><p1><mf><sg><nom>,4,4,1,1
1.0,1362082826,619508,u:ifvw,de,en,20dde14c9907e353804d0de13f198543,esse/essen<vblex><pri><p1><sg>,4,4,1,1
1.0,1362082827,1488,u:f3MB,es,en,698a096a49f8a164caa5dcbfad271fd8,hombres/hombre<n><m><pl>,6,6,1,1
1.0,1362082827,1045,u:f3MB,es,en,c84476c460737d9fb905dca3d35ec995,niños/niño<n><m><pl>,7,6,1,1
1.0,1362082827,365,u:f3MB,es,en,c042776c6e21db7522381dc8a022e74e,los/el<det><def><m><pl>,5,5,2,2
1.0,1362082827,365,u:f3MB,es,en,1a913f2ded424985b9c02d0436008511,leo/leer<vblex><pri><p1><sg>,6,6,1,1
0.0,1362082827,729,u:f3MB,es,en,38b770e66595fea718366523b4f7db3f,libro/libro<n><m><sg>,11,10,1,0
1.0,1362082827,365,u:f3MB,es,en,faa6fd18132b358958e440322ee82b4b,lee/leer<vblex><pri><p3><sg>,6,4,2,2
1.0,1362082827,2025,u:f3MB,es,en,86584daef5933b284384453795bbf0ed,hombre/hombre<n><m><sg>,5,5,1,1
0.5,1362082827,365,u:f3MB,es,en,f9d3186a3a829083942aa09a75d1aae6,leen/leer<vblex><pri><p3><pl>,3,3,2,1
0.5,1362082827,1045,u:f3MB,es,en,22e3fc5f089cf47dae927dfddcce2844,ellos/prpers<prn><tn><p3><m><pl>,9,7,2,1
1.0,1362082827,729,u:f3MB,es,en,cea25080ac57e5c12f7e0676f70a54df,escribe/escribir<vblex><pri><p3><sg>,9,8,1,1
1.0,1362082827,365,u:f3MB,es,en,edf5a0ef6c836c4df4f3b3de76ca63ba,diario/diario<n><m><sg>,11,8,2,2
1.0,1362082827,1488,u:f3MB,es,en,f3ec502e5b9ca28d31b1478341f7bb3d,somos/ser<vbser><pri><p1><pl>,13,13,1,1
1.0,1362082827,1045,u:f3MB,es,en,aaa5edb86012a89ad96f0fe29b952ee7,ellas/prpers<prn><tn><p3><f><pl>,9,8,2,2
1.0,1362082827,729,u:f3MB,es,en,b463895af72578dcff1d4ea2bb9eda76,escriben/escribir<vblex><pri><p3><pl>,6,4,1,1
1.0,1362082827,1647,u:f3MB,es,en,575d2821d7c3fa6d410c0eb2ea878f28,leche/leche<n><f><sg>,2,2,1,1
1.0,1362082827,1488,u:f3MB,es,en,fae183cfa6a19d79e500f55f55775e68,nosotras/prpers<prn><tn><p1><f><pl>,4,4,2,2
1.0,1362082827,1488,u:f3MB,es,en,d343fa9686b06251e151ea166773da32,ustedes/prpers<prn><tn><p3><mf><pl>,5,4,1,1
1.0,1362082827,1045,u:f3MB,es,en,a8a620e1310deb6282fec185918acad1,bebemos/beber<vblex><pri><p1><pl>,7,7,1,1
1.0,1362082827,1647,u:f3MB,es,en,1d82fa60ebcc219cea70d4375a404a5c,bebe/beber<vblex><pri><p3><sg>,4,3,1,1
1.0,1362082827,1488,u:f3MB,es,en,50629ad6c891b5b3f258b2fdb0e3cf82,nosotros/prpers<prn><tn><p1><m><pl>,3,3,2,2
1.0,1362082827,365,u:f3MB,es,en,f423850a19d3a8b7f7c206c2a9dfa733,persona/persona<n><f><sg>,8,5,1,1
1.0,1362082827,1797,u:f3MB,es,en,967bfdb9d5180c33cfb21dca82034e85,usted/prpers<prn><tn><p3><mf><sg>,2,2,1,1
1.0,1362082827,729,u:f3MB,es,en,ddba444a359006164704196b39c87a1b,carta/carta<n><f><sg>,9,8,1,1
1.0,1362082827,1488,u:f3MB,es,en,300af9de3ca46c837e194f0f83ac3885,mujeres/mujer<n><f><pl>,9,9,1,1
1.0,1362082827,1488,u:f3MB,es,en,fda174b61b0ed5e2eaa6deceae37f56b,son/ser<vbser><pri><p3><pl>,6,5,3,3
1.0,1362082827,1045,u:f3MB,es,en,3c317e367d8d299c237e618dd5dde5da,vino/vino<n><m><sg>,15,14,2,2
1.0,1362082827,1045,u:f3MB,es,en,e0c59af9edfe94325252afb2525b4c93,beben/beber<vblex><pri><p3><pl>,9,8,1,1
1.0,1362082827,729,u:f3MB,es,en,2dfe022dbb72b561bf0a34ac768502b3,escribo/escribir<vblex><pri><p1><sg>,10,10,1,1
1.0,1362082827,1045,u:f3MB,es,en,efc6cd9e60a5a997c906ecad64813b1d,niñas/niño<n><f><pl>,5,4,2,2
1.0,1362082831,585288,u:tTE,en,es,35eea5a7fca92c2b687b1002adfc4786,read/read<vblex><inf>,3,3,1,1
1.0,1362082831,87828,u:tTE,en,es,b974624f112084b39586380fe4aaf32a,man/man<n><sg>,35,27,1,1
1.0,1362082831,423682,u:tTE,en,es,1f52d650da1ee41e47ee11caf853e6f4,sandwich/sandwich<n><sg>,11,7,3,3
1.0,1362082831,423682,u:tTE,en,es,5fa72aeafbde5b346681886abbabf3f3,egg/egg<n><sg>,3,3,2,2
1.0,1362082831,25055766,u:tTE,en,es,16f2acaffe30cb9a81f422674d398df4,he/prpers<prn><subj><p3><m><sg>,7,7,1,1
1.0,1362082831,585288,u:tTE,en,es,577853bea646e596a8bd041fb781718a,does/do<vbdo><pri><p3><sg>,5,5,1,1
1.0,1362082831,87828,u:tTE,en,es,a826c47947d68549fa81e19cafa57ba0,eat/eat<vblex><pres>,42,36,1,1
1.0,1362082831,25055495,u:tTE,en,es,0fc958c3155ced80fc2baf9b0b1e9ba4,moment/moment<n><sg>,1,1,2,2
1.0,1362082831,149277,u:tTE,en,es,97e922f780d628eac638bea7a02bf496,is/be<vbser><pri><p3><sg>,59,48,2,2
1.0,1362082831,424118,u:tTE,en,es,100164559946674138e97c1e3830ccf4,child/child<n><sg>,7,5,3,3
0.0,1362082831,24858882,u:tTE,en,es,e4f82622081279ba8af9b7cd6b43259c,meat/meat<n><sg>,5,4,1,0
1.0,1362082831,422650,u:tTE,en,es,ab5609e6c607e5642664fed06ffa0713,plate/plate<n><sg>,4,3,3,3
1.0,1362082831,91080,u:tTE,en,es,33a7fd42f74b2d2b1110f1b0c8b6db38,not/not<adv>,17,16,1,1
1.0,1362082831,424118,u:tTE,en,es,d08cf940a72a6e1df3a6ae6bbd9f100f,you/prpers<prn><subj><p2><mf><sp>,28,22,1,1
1.0,1362082831,87828,u:tTE,en,es,0d9244f805fd55af1281a1bcb1a2cba6,and/and<cnjcoo>,28,23,1,1
0.666666666667,1362082831,87828,u:tTE,en,es,928787744a962cd4ec55c1b22cedc913,eats/eat<vblex><pri><p3><sg>,57,52,3,2
1.0,1362082831,88270,u:tTE,en,es,375662ec82debfdebd8215b147848cc7,woman/woman<n><sg>,35,34,1,1
1.0,1362082831,422938,u:tTE,en,es,caf87ffb7428eb2a20712222890aa8d1,soup/soup<n><sg>,3,3,3,3
1.0,1362082831,422650,u:tTE,en,es,142ad0f32d08728de0f9955df5b83f32,an/a<det><ind><sg>,34,27,1,1
1.0,1362082831,87828,u:tTE,en,es,b968b069e4e2c04848e9f8924e34c031,we/prpers<prn><subj><p1><mf><pl>,33,30,1,1
1.0,1362082831,87828,u:tTE,en,es,a617ed646a251e339738ce62b84e61ce,are/be<vbser><pres>,22,18,1,1
1.0,1362082831,149277,u:tTE,en,es,827a8ecb89f9b59ac5c29b620a5d3ed6,a/a<det><ind><sg>,72,60,5,5
1.0,1362082831,422938,u:tTE,en,es,bfa2713c4f93d7341626fd88601d008b,tomato/tomato<n><sg>,3,2,2,2
1.0,1362082831,149277,u:tTE,en,es,c7cdabd85f63506807f8d856897a2089,it/prpers<prn><subj><p3><nt><sg>,27,20,1,1
1.0,1362082831,422650,u:tTE,en,es,ca886bc339ea78c58abea6250665ad49,orange/orange<n><sg>,8,8,1,1
1.0,1362082827,1068850,u:cyPc,fr,en,8eab218aee7c0dac90f093c855af968a,pain/pain<n><m><sg>,7,6,3,3
1.0,1362082827,1068850,u:cyPc,fr,en,a9d9e40ec966f6bf6a78080d8d1947ac,lait/lait<n><m><sg>,3,2,4,4
1.0,1362082827,1068850,u:cyPc,fr,en,2d0937077480a627a3973de2a1e4015a,vin/vin<n><m><sg>,6,5,4,4
1.0,1362082827,1068850,u:cyPc,fr,en,bc77537cb121e6e22bd91949fbecc4c4,eau/eau<n><f><sg>,8,6,3,3
0.666666666667,1362082832,431171,u:ivhW,en,es,87c450efea56f8f35f5ca4e48906a192,bye/bye<ij>,2,2,3,2
1.0,1362082832,431171,u:ivhW,en,es,33a7fd42f74b2d2b1110f1b0c8b6db38,not/not<adv>,4,4,4,4
1.0,1362082832,431171,u:ivhW,en,es,e35dd18fb95a8b59046eec582942fa64,thanks/thanks<ij>,1,1,1,1
1.0,1362082832,431171,u:ivhW,en,es,ee83763629a0d5a538c07e65bfd65593,please/please<adv>,1,1,3,3
1.0,1362082832,431171,u:ivhW,en,es,18204d89f24410e93d66889c7c7399d7,no/no<adv>,1,1,2,2
0.666666666667,1362082832,431171,u:ivhW,en,es,d94aa893b5c536f2a4664637d9bec191,yes/yes<adv>,3,3,3,2
1.0,1362082832,431171,u:ivhW,en,es,764e3dc3b4ba7256526f0b66c33d778d,hello/hello<ij>,2,2,4,4
1.0,1362082832,431171,u:ivhW,en,es,9443f902cdcf9f4da3b5f58d3f657efe,you/prpers<@ij:thank_you>,3,3,2,2
1.0,1362082827,1602403,u:ely5,es,en,9514a745286f34b3d6d0a945cd31502d,calor/calor<n><m><sg>,2,1,2,2
1.0,1362082827,1601144,u:ely5,es,en,0da18d858400621282419273b76b0201,ambiente/ambiente<n><m><sg>,2,1,2,2
0.333333333333,1362082827,1601412,u:ely5,es,en,6f0fc29f1fff89eb88cc0f28737f26f9,células/célula<n><f><pl>,2,1,3,1
1.0,1362082827,1210239,u:ely5,es,en,d157a2149034333f421bed0320e316dc,hoy/hoy<adv>,27,23,1,1
1.0,1362082827,1590582,u:ely5,es,en,443854ab094df34d2eb89b9937086b39,conjunto/conjunto<n><m><sg>,2,1,2,2
0.666666666667,1362082827,1590582,u:ely5,es,en,ec19099bf14d16d99fcea1e8d1dfa3a5,importancia/importancia<n><f><sg>,2,1,3,2
1.0,1362082827,1210144,u:ely5,es,en,e35758ada066b83b2a4561d05ee1d7f5,comer/comer<vblex><inf>,17,12,1,1
1.0,1362082827,1600949,u:ely5,es,en,3f75bc764f1e65a8944fe83f4ecbda3d,arena/arena<n><f><sg>,2,1,2,2
1.0,1362082827,1493451,u:ely5,es,en,9e1e98c90cd2c0ccdab273e35a4fa3db,hace/hacer<vblex><pri><p3><sg>,8,8,1,1
1.0,1362082827,145,u:ely5,es,en,0f4f9c3846cfb1c25afb44d5e46642b8,caminar/caminar<vblex><inf>,9,8,1,1
0.666666666667,1362082827,1210144,u:ely5,es,en,9df86143a14acb3a22325e54da46b509,decidió/decidir<vblex><ifi><p3><sg>,7,3,3,2
0.0,1362082827,1210144,u:ely5,es,en,e50652a2799967962993ca5bfcae4408,indicó/indicar<vblex><ifi><p3><sg>,3,1,1,0
1.0,1362082827,1595267,u:ely5,es,en,47f1d9d4389430828c25446aa251fbae,<*sf>/acción<n><f><*numb>,2,1,1,1
0.75,1362082829,827,u:ihyH,en,es,3b64a4c607dcfb0094b8fed5c148dfac,saw/see<vblex><past>,10,8,4,3
1.0,1362082829,827,u:ihyH,en,es,145db07b1be00fbaee544744c67a4701,said/say<vblex><past>,5,5,3,3
0.5,1362082829,827,u:ihyH,en,es,f757c32ec9245f16965a7dd1f46627d5,heard/hear<vblex><past>,4,4,2,1
1.0,1362082829,827,u:ihyH,en,es,3832be5ffdf28fd19f79917976c534d2,listened/listen<vblex><past>,4,4,2,2
0.0,1362082829,827,u:ihyH,en,es,4738a9a1e3843464b1e5f59be71ca4f4,played/play<vblex><past>,4,4,1,0
1.0,1362082829,827,u:ihyH,en,es,618c5e6c728760a81fda09cfe865ea09,told/tell<vblex><past>,5,3,2,2
1.0,1362082829,827,u:ihyH,en,es,8babb84cf276822af265c6886effeeb9,had/have<vblex><past>,7,7,6,6
1.0,1362082836,1419852,u:hews,en,it,ca886bc339ea78c58abea6250665ad49,orange/orange<n><sg>,18,10,1,1
1.0,1362082827,604880,u:mKI,es,en,68f574243cd072ed101557dd9a86c863,llaves/llave<n><f><pl>,1,1,3,3
1.0,1362082827,606843,u:mKI,es,en,2dfe022dbb72b561bf0a34ac768502b3,escribo/escribir<vblex><pri><p1><sg>,3,3,1,1
1.0,1362082827,459273,u:mKI,es,en,faa6fd18132b358958e440322ee82b4b,lee/leer<vblex><pri><p3><sg>,5,5,1,1
1.0,1362082827,459660,u:mKI,es,en,47692db0120d603dc27a1881fe41c5e8,tienen/tener<vblex><pri><p3><pl>,4,3,2,2
0.0,1362082827,800,u:mKI,es,en,99cd0848be9239250ffd99e11add7338,de/de<pr>,7,6,1,0
1.0,1362082827,604880,u:mKI,es,en,688bd653bbaa40e9a5a66b2b1aa5f7a4,palabras/palabra<n><f><pl>,2,2,2,2
0.0,1362082827,253,u:mKI,es,en,e4a6c5abe9f3911c324195b06bebc3c1,blanco/blanco<adj><m><sg>,3,3,1,0
1.0,1362082827,1624,u:mKI,es,en,15f99792b4df114a9390e9c5c8c98d8e,comemos/comer<vblex><pri><p1><pl>,6,6,1,1
0.5,1362082827,606843,u:mKI,es,en,b463895af72578dcff1d4ea2bb9eda76,escriben/escribir<vblex><pri><p3><pl>,3,3,2,1
0.666666666667,1362082827,253,u:mKI,es,en,fda174b61b0ed5e2eaa6deceae37f56b,son/ser<vbser><pri><p3><pl>,8,8,3,2
0.666666666667,1362082827,604880,u:mKI,es,en,5bae3ae1487f71f264b4fbbcb6404f00,diarios/diario<n><m><pl>,3,2,3,2
0.5,1362082827,604880,u:mKI,es,en,1f2dcf83930d22a2e730a57b9847aeda,libros/libro<n><m><pl>,3,3,2,1
1.0,1362082827,253,u:mKI,es,en,e8578c557b3989f9efbc424f9430091d,come/comer<vblex><pri><p3><sg>,16,16,2,2
1.0,1362082827,253,u:mKI,es,en,c2c8a202a12411858f87d4dcef5b2998,no/no<adv>,8,7,1,1
0.0,1362082827,603897,u:mKI,es,en,fd1033c61c9beca7a8bc633e42924a6f,negro/negro<adj><m><sg>,3,3,1,0
0.5,1362082827,800,u:mKI,es,en,4a053e65555d1325c3ff3e618239606e,y/y<cnjcoo>,9,8,2,1
1.0,1362082827,1367,u:mKI,es,en,61a79f5fa8e435f50ff6df1df8748f13,manzanas/manzana<n><f><pl>,7,7,3,3
0.666666666667,1362082827,604880,u:mKI,es,en,1df466a5f2f77b430fa30f7e366404ef,cartas/carta<n><f><pl>,3,3,3,2
1.0,1362082827,604880,u:mKI,es,en,36cc2f758a27a4ebeb9f23d82881a811,pescados/pescado<n><m><pl>,2,2,2,2
1.0,1362082827,4605,u:mKI,es,en,fff799d4d95e416db9dc07ca717b4ef9,pequeñas/pequeño<adj><f><pl>,1,1,1,1
1.0,1362082827,1367,u:mKI,es,en,7f0ea4d40cd20d7e6ac1cb453412fba1,grandes/grande<adj><mf><pl>,4,4,1,1
0.0,1362082828,411,u:ilTZ,it,en,bb9da12f6d3d7c131486d648cdc75bda,colazione/colazione<n><f><sg>,4,4,1,0
1.0,1362082828,273901,u:ilTZ,it,en,e56106ee421765958c046981bcef68a1,cucino/cucinare<vblex><pri><p1><sg>,2,2,1,1
1.0,1362082828,411,u:ilTZ,it,en,fe72c841a54b9112e60870182236e00e,lo/il<det><def><m><sg>,12,10,1,1
0.0,1362082828,411,u:ilTZ,it,en,9cfb037fb5bf9051645e9c7d5d336c73,la/il<det><def><f><sg>,18,17,1,0
1.0,1362082828,411,u:ilTZ,it,en,f249d88b7beb7a35c7df70dccef3e392,fritto/fritto<adj><m><sg>,4,4,1,1
1.0,1362082828,4902,u:ilTZ,it,en,6c3d0d27dcd0bb523ea337052b2d5b22,non/non<adv>,12,10,1,1
1.0,1362082828,411,u:ilTZ,it,en,f0afde011fdbd05f904638cd2776d722,lei/lui<prn><tn><p3><f><sg>,24,23,1,1
1.0,1362082828,411,u:ilTZ,it,en,9dcb87ba910456b572460e5e72cdcfb7,mangiamo/mangiare<vblex><pri><p1><pl>,4,4,1,1
1.0,1362082828,5154,u:ilTZ,it,en,70273bd4e2ae4fe0a1807d462acf8edc,manzo/manzo<n><m><sg>,4,4,2,2
1.0,1362082828,5302,u:ilTZ,it,en,5d09ea8ec2581f32fbfd1ce09fc21221,latta/latta<n><f><sg>,3,1,1,1
1.0,1362082828,450751,u:ilTZ,it,en,2b28e6b398b36d4f7f6ef0b7da31fd5c,ha/avere<vblex><pri><p3><sg>,7,7,1,1
1.0,1362082828,692,u:ilTZ,it,en,beec1797263cc8f99515f22ca9f9696a,aglio/aglio<n><m><sg>,4,2,1,1
1.0,1362082828,450751,u:ilTZ,it,en,fec119369ceb49cb5b6d72a58c3e770e,lui/lui<prn><tn><p3><m><sg>,11,9,1,1
1.0,1362082828,692,u:ilTZ,it,en,015ff3f00b82f2bb5c5cc839a7cd4089,caramella/caramella<n><f><sg>,3,3,1,1
0.0,1362082828,692,u:ilTZ,it,en,82080e819b65f579859fa1848b2fda2c,crema/crema<n><f><sg>,3,3,1,0
1.0,1362082828,411,u:ilTZ,it,en,7e6d656a6c38aca23d98acc796a35720,beve/bere<vblex><pri><p3><sg>,12,10,1,1
1.0,1362082828,861,u:ilTZ,it,en,21530ddeea9be9064dc3898af43b5cc0,banana/banana<n><f><sg>,4,4,1,1
1.0,1362082828,411,u:ilTZ,it,en,45b64b5064c54c30bbe142502fc65585,caffè/caffè<n><m><sp>,8,8,2,2
1.0,1362082828,411,u:ilTZ,it,en,a42afa9f229469f0a3d58e98b212c12d,uva/uva<n><f><sg>,4,4,1,1
1.0,1362082828,411,u:ilTZ,it,en,0a1182023e118cdfe925e4449433cac1,cioccolato/cioccolato<n><m><sg>,5,4,1,1
1.0,1362082828,275150,u:ilTZ,it,en,6143e352e91b669cf981ae573caa8557,pollo/pollo<n><m><sg>,3,3,2,2
0.0,1362082828,411,u:ilTZ,it,en,3381865bed47a3bd9fcfb725efe8ab5c,bicchiere/bicchiere<n><m><sg>,4,4,1,0
1.0,1362082828,861,u:ilTZ,it,en,5481f195e13174e3487e4390cf6259f8,frutta/frutta<n><f><sg>,3,3,1,1
1.0,1362082828,411,u:ilTZ,it,en,76c7d79c574f409c252f0206df01b84b,tazza/tazza<n><f><sg>,3,3,1,1
1.0,1362082828,411,u:ilTZ,it,en,07b1ca7a0c4806cf6b4ac2bacca37e11,formaggio/formaggio<n><m><sg>,4,3,1,1
1.0,1362082828,252,u:cS-T,en,es,0d9244f805fd55af1281a1bcb1a2cba6,and/and<cnjcoo>,28,24,1,1
1.0,1362082828,56,u:cS-T,en,es,100164559946674138e97c1e3830ccf4,child/child<n><sg>,37,31,1,1
1.0,1362082828,1307024,u:cS-T,en,es,80765ae2a08ba6812a4ab9df607b97d2,am/be<vbser><pri><p1><sg>,23,21,1,1
0.0,1362082828,56,u:cS-T,en,es,a617ed646a251e339738ce62b84e61ce,are/be<vbser><pres>,42,39,1,0
1.0,1362082828,252,u:cS-T,en,es,55f383178cf0fdc463ef1ebf91bd288d,milk/milk<n><sg>,32,30,1,1
0.0,1362082828,56,u:cS-T,en,es,b968b069e4e2c04848e9f8924e34c031,we/prpers<prn><subj><p1><mf><pl>,75,69,1,0
0.0,1362082828,69713,u:cS-T,en,es,6467457ef675ada64c360e7d17642aaf,men/man<n><pl>,62,54,1,0
1.0,1362082828,56,u:cS-T,en,es,827a8ecb89f9b59ac5c29b620a5d3ed6,a/a<det><ind><sg>,74,65,1,1
1.0,1362082828,129,u:cS-T,en,es,cdfecc9247566d40bb964a218c54c783,drink/drink<vblex><pres>,63,58,1,1
1.0,1362082832,2419650,u:dkNo,en,es,3d19f290b5b23aaff70148a09aaa3ce3,walk/walk<vblex><inf>,2,2,3,3
1.0,1362082832,2419650,u:dkNo,en,es,1e7dcbc00315ba13f388fe7ed272db21,swim/swim<vblex><inf>,3,3,2,2
0.666666666667,1362082832,2419650,u:dkNo,en,es,2c25310c763718c5dccd8c27b8836a46,do/do<vblex><inf>,2,2,3,2
1.0,1362082832,2419650,u:dkNo,en,es,28871ea3760d9b7ec0dcaeadf4c10383,cook/cook<vblex><inf>,2,2,1,1
1.0,1362082832,2419650,u:dkNo,en,es,1849080c74cfc80bb39a5a493e85efe8,see/see<vblex><inf>,4,2,3,3
1.0,1362082832,2419650,u:dkNo,en,es,561e4080e1b9378992982bd9a02771e6,be/be<vbser><inf>,4,4,3,3
1.0,1362082832,2419650,u:dkNo,en,es,7e1a1451a3ea6dd2bc12eae0e9750566,write/write<vblex><inf>,3,2,4,4
1.0,1362082831,176901,u:ifjH,en,es,91e1f511d532b80f8ef3fca752f3a237,fish/fish<n><sg>,6,4,1,1
1.0,1362082831,680392,u:ifjH,en,es,b974624f112084b39586380fe4aaf32a,man/man<n><sg>,8,7,1,1
1.0,1362082831,177582,u:ifjH,en,es,3629ee563c2d56a4869e100a38014108,alcohol/alcohol<n><sg>,5,5,1,1
1.0,1362082831,178411,u:ifjH,en,es,92545dc760008a4cdb29e841e6121952,beer/beer<n><sg>,5,5,1,1
1.0,1362082831,256947,u:ifjH,en,es,cd6d617c7071b0bb4b0863ab14ff6d80,pasta/pasta<n><sg>,3,3,1,1
1.0,1362082831,2879,u:ifjH,en,es,c2931f12f84e49c84d224cbbdc8a504b,cats/cat<n><pl>,3,3,1,1
0.5,1362082831,257578,u:ifjH,en,es,c9fb923e49d5cba24b5afb9ee1cff2a9,wine/wine<n><sg>,8,8,2,1
1.0,1362082831,257578,u:ifjH,en,es,f21a429c717dd93b9f5723f20d87ab8a,coffee/coffee<n><sg>,4,3,1,1
1.0,1362082831,257578,u:ifjH,en,es,5fa72aeafbde5b346681886abbabf3f3,egg/egg<n><sg>,3,3,1,1
1.0,1362082831,176901,u:ifjH,en,es,a826c47947d68549fa81e19cafa57ba0,eat/eat<vblex><pres>,10,10,1,1
0.0,1362082831,680392,u:ifjH,en,es,547bb1812414cec172b0afef5ca93fce,girl/girl<n><sg>,5,5,1,0
1.0,1362082831,176901,u:ifjH,en,es,97e922f780d628eac638bea7a02bf496,is/be<vbser><pri><p3><sg>,23,18,1,1
1.0,1362082831,256947,u:ifjH,en,es,25dcc7b3420a56110835a165f02513c9,lunch/lunch<n><sg>,5,5,1,1
1.0,1362082831,176901,u:ifjH,en,es,01669d9689c5cf2ec04c58a893f02ab6,drinks/drink<vblex><pri><p3><sg>,6,6,1,1
1.0,1362082831,256947,u:ifjH,en,es,151bdacf1c5d3f8f5b9e60b6eca8e4db,breakfast/breakfast<n><sg>,6,6,1,1
1.0,1362082831,257578,u:ifjH,en,es,ab5609e6c607e5642664fed06ffa0713,plate/plate<n><sg>,4,4,1,1
0.0,1362082831,176901,u:ifjH,en,es,0a7ad985b6b19b5cfb4723f207220a3d,they/prpers<prn><subj><p3><mf><pl>,7,7,1,0
1.0,1362082831,256947,u:ifjH,en,es,099dfb07f4ace185b82838c1fb5781ff,sugar/sugar<n><sg>,3,3,1,1
1.0,1362082831,176901,u:ifjH,en,es,827a8ecb89f9b59ac5c29b620a5d3ed6,a/a<det><ind><sg>,22,20,1,1
0.0,1362082831,257578,u:ifjH,en,es,ef1f94c0e977e97bd02772867e9110f1,chicken/chicken<n><sg>,5,4,1,0
1.0,1362082831,178411,u:ifjH,en,es,b1d3c09c2fbf94a1bfa279ea186b9a12,beef/beef<n><sg>,5,4,1,1
0.5,1362082831,176901,u:ifjH,en,es,928787744a962cd4ec55c1b22cedc913,eats/eat<vblex><pri><p3><sg>,14,12,2,1
0.0,1362082831,680392,u:ifjH,en,es,cdfecc9247566d40bb964a218c54c783,drink/drink<vblex><pres>,5,5,1,0
1.0,1362082831,178411,u:ifjH,en,es,caf87ffb7428eb2a20712222890aa8d1,soup/soup<n><sg>,4,4,1,1
0.0,1362082831,178411,u:ifjH,en,es,0bd5d9cd7baaaf384b5344e27d15cecd,food/food<n><sg>,7,6,1,0
1.0,1362082831,256947,u:ifjH,en,es,165dc4d4b42c9d825cb913541fdd09a7,juice/juice<n><sg>,9,8,1,1
1.0,1362082831,86615,u:ifjH,en,es,0d7c3234513eea5a732f05f93e8302aa,meal/meal<n><sg>,7,4,1,1
1.0,1362082831,178411,u:ifjH,en,es,bfa2713c4f93d7341626fd88601d008b,tomato/tomato<n><sg>,4,4,2,2
1.0,1362082831,176901,u:ifjH,en,es,c7cdabd85f63506807f8d856897a2089,it/prpers<prn><subj><p3><nt><sg>,11,7,1,1
1.0,1362082833,329,u:ijgS,en,es,099dfb07f4ace185b82838c1fb5781ff,sugar/sugar<n><sg>,2,2,1,1
0.5,1362082833,685566,u:ijgS,en,es,928787744a962cd4ec55c1b22cedc913,eats/eat<vblex><pri><p3><sg>,4,3,2,1
0.0,1362082833,686684,u:ijgS,en,es,547bb1812414cec172b0afef5ca93fce,girl/girl<n><sg>,4,4,1,0
0.0,1362082833,65,u:ijgS,en,es,65e5296142d056fd1403e95fb027f107,fruit/fruit<n><sg>,2,2,1,0
1.0,1362082833,587958,u:h1Gy,fr,en,03a546003e03b545a6d419b6620b3749,la/le<det><def><f><sg>,5,4,3,3
1.0,1362082833,587958,u:h1Gy,fr,en,6eee7de1f58d4033e937386469f1a5ab,garçon/garçon<n><m><sg>,6,6,2,2
1.0,1362082833,587958,u:h1Gy,fr,en,6debf33c91876b19aa26095423ad0e3e,suis/être<vbser><pri><p1><sg>,4,3,1,1
1.0,1362082833,587958,u:h1Gy,fr,en,28bf9a71ef6ce4721e906f594b7a5b80,fille/fille<n><f><sg>,7,4,2,2
1.0,1362082833,587958,u:h1Gy,fr,en,8243ebb6f04f8293b3c63cf666b5eacc,le/le<det><def><m><sg>,6,4,3,3
0.333333333333,1362082833,587958,u:h1Gy,fr,en,808d0c8ede6981e3d9a7a87153601e38,une/un<det><ind><f><sg>,8,7,3,1
